object,color,seed,prompt,path,object_correct,color_correct,annotator
apple,white,6,a photo of a white apple,apple/white/seed_0006.png,1,0,Gabriel
apple,yellow,22,a photo of a yellow apple,apple/yellow/seed_0022.png,1,0,Gabriel
apple,yellow,20,a photo of a yellow apple,apple/yellow/seed_0020.png,1,0,Gabriel
apple,yellow,17,a photo of a yellow apple,apple/yellow/seed_0017.png,1,0,Gabriel
bag,black,13,a photo of a black bag,bag/black/seed_0013.png,1,1,Gabriel
bag,black,7,a photo of a black bag,bag/black/seed_0007.png,1,1,Gabriel
bag,black,14,a photo of a black bag,bag/black/seed_0014.png,1,1,Gabriel
bag,blue,18,a photo of a blue bag,bag/blue/seed_0018.png,1,1,Gabriel
bag,blue,8,a photo of a blue bag,bag/blue/seed_0008.png,1,0,Gabriel
bag,blue,25,a photo of a blue bag,bag/blue/seed_0025.png,1,1,Gabriel
bag,brown,27,a photo of a brown bag,bag/brown/seed_0027.png,1,1,Gabriel
bag,brown,0,a photo of a brown bag,bag/brown/seed_0000.png,1,1,Gabriel
bag,brown,24,a photo of a brown bag,bag/brown/seed_0024.png,1,1,Gabriel
bag,green,25,a photo of a green bag,bag/green/seed_0025.png,1,1,Gabriel
bag,green,5,a photo of a green bag,bag/green/seed_0005.png,1,1,Gabriel
bag,green,22,a photo of a green bag,bag/green/seed_0022.png,1,1,Gabriel
bag,orange,13,a photo of a orange bag,bag/orange/seed_0013.png,1,1,Gabriel
bag,orange,10,a photo of a orange bag,bag/orange/seed_0010.png,1,1,Gabriel
bag,orange,8,a photo of a orange bag,bag/orange/seed_0008.png,1,1,Gabriel
bag,pink,4,a photo of a pink bag,bag/pink/seed_0004.png,1,1,Gabriel
bag,pink,6,a photo of a pink bag,bag/pink/seed_0006.png,1,1,Gabriel
bag,pink,24,a photo of a pink bag,bag/pink/seed_0024.png,1,1,Gabriel
bag,purple,10,a photo of a purple bag,bag/purple/seed_0010.png,1,1,Gabriel
bag,purple,3,a photo of a purple bag,bag/purple/seed_0003.png,1,1,Gabriel
bag,purple,2,a photo of a purple bag,bag/purple/seed_0002.png,1,1,Gabriel
bag,red,12,a photo of a red bag,bag/red/seed_0012.png,1,1,Gabriel
bag,red,3,a photo of a red bag,bag/red/seed_0003.png,1,1,Gabriel
bag,red,11,a photo of a red bag,bag/red/seed_0011.png,1,1,Gabriel
bag,white,27,a photo of a white bag,bag/white/seed_0027.png,1,1,Gabriel
bag,white,11,a photo of a white bag,bag/white/seed_0011.png,1,1,Gabriel
bag,white,19,a photo of a white bag,bag/white/seed_0019.png,1,0,Gabriel
bag,yellow,8,a photo of a yellow bag,bag/yellow/seed_0008.png,1,1,Gabriel
bag,yellow,25,a photo of a yellow bag,bag/yellow/seed_0025.png,1,1,Gabriel
bag,yellow,1,a photo of a yellow bag,bag/yellow/seed_0001.png,1,1,Gabriel
ball,black,23,a photo of a black ball,ball/black/seed_0023.png,1,1,Gabriel
ball,black,14,a photo of a black ball,ball/black/seed_0014.png,1,1,Gabriel
ball,black,17,a photo of a black ball,ball/black/seed_0017.png,1,1,Gabriel
ball,blue,3,a photo of a blue ball,ball/blue/seed_0003.png,1,1,Gabriel
ball,blue,29,a photo of a blue ball,ball/blue/seed_0029.png,1,1,Gabriel
ball,blue,12,a photo of a blue ball,ball/blue/seed_0012.png,1,1,Gabriel
ball,brown,2,a photo of a brown ball,ball/brown/seed_0002.png,1,1,Gabriel
ball,brown,17,a photo of a brown ball,ball/brown/seed_0017.png,1,1,Gabriel
ball,brown,9,a photo of a brown ball,ball/brown/seed_0009.png,1,1,Gabriel
ball,green,26,a photo of a green ball,ball/green/seed_0026.png,1,1,Gabriel
ball,green,20,a photo of a green ball,ball/green/seed_0020.png,1,1,Gabriel
ball,green,19,a photo of a green ball,ball/green/seed_0019.png,1,1,Gabriel
ball,orange,28,a photo of a orange ball,ball/orange/seed_0028.png,1,1,Gabriel
ball,orange,27,a photo of a orange ball,ball/orange/seed_0027.png,1,1,Gabriel
ball,orange,11,a photo of a orange ball,ball/orange/seed_0011.png,1,1,Gabriel
ball,pink,18,a photo of a pink ball,ball/pink/seed_0018.png,1,1,Gabriel
ball,pink,6,a photo of a pink ball,ball/pink/seed_0006.png,1,1,Gabriel
ball,pink,22,a photo of a pink ball,ball/pink/seed_0022.png,1,1,Gabriel
ball,purple,2,a photo of a purple ball,ball/purple/seed_0002.png,1,1,Gabriel
ball,purple,1,a photo of a purple ball,ball/purple/seed_0001.png,1,1,Gabriel
ball,purple,21,a photo of a purple ball,ball/purple/seed_0021.png,1,1,Gabriel
ball,red,7,a photo of a red ball,ball/red/seed_0007.png,1,1,Gabriel
ball,red,24,a photo of a red ball,ball/red/seed_0024.png,1,1,Gabriel
ball,red,9,a photo of a red ball,ball/red/seed_0009.png,1,1,Gabriel
ball,white,2,a photo of a white ball,ball/white/seed_0002.png,1,1,Gabriel
ball,white,27,a photo of a white ball,ball/white/seed_0027.png,1,1,Gabriel
ball,white,7,a photo of a white ball,ball/white/seed_0007.png,1,1,Gabriel
ball,yellow,27,a photo of a yellow ball,ball/yellow/seed_0027.png,1,1,Gabriel
ball,yellow,3,a photo of a yellow ball,ball/yellow/seed_0003.png,1,1,Gabriel
ball,yellow,12,a photo of a yellow ball,ball/yellow/seed_0012.png,1,1,Gabriel
banana,black,8,a photo of a black banana,banana/black/seed_0008.png,1,0,Gabriel
banana,black,14,a photo of a black banana,banana/black/seed_0014.png,1,1,Gabriel
banana,black,20,a photo of a black banana,banana/black/seed_0020.png,1,1,Gabriel
banana,blue,26,a photo of a blue banana,banana/blue/seed_0026.png,1,1,Gabriel
banana,blue,11,a photo of a blue banana,banana/blue/seed_0011.png,1,1,Gabriel
banana,blue,5,a photo of a blue banana,banana/blue/seed_0005.png,1,1,Gabriel
banana,brown,11,a photo of a brown banana,banana/brown/seed_0011.png,1,0,Gabriel
banana,brown,6,a photo of a brown banana,banana/brown/seed_0006.png,1,0,Gabriel
banana,brown,21,a photo of a brown banana,banana/brown/seed_0021.png,1,0,Gabriel
banana,green,8,a photo of a green banana,banana/green/seed_0008.png,1,1,Gabriel
banana,green,22,a photo of a green banana,banana/green/seed_0022.png,1,1,Gabriel
banana,green,29,a photo of a green banana,banana/green/seed_0029.png,1,1,Gabriel
banana,orange,21,a photo of a orange banana,banana/orange/seed_0021.png,1,0,Gabriel
banana,orange,20,a photo of a orange banana,banana/orange/seed_0020.png,1,0,Gabriel
banana,orange,2,a photo of a orange banana,banana/orange/seed_0002.png,1,0,Gabriel
banana,pink,19,a photo of a pink banana,banana/pink/seed_0019.png,1,0,Gabriel
banana,pink,20,a photo of a pink banana,banana/pink/seed_0020.png,1,1,Gabriel
banana,pink,5,a photo of a pink banana,banana/pink/seed_0005.png,1,1,Gabriel
banana,purple,17,a photo of a purple banana,banana/purple/seed_0017.png,1,1,Gabriel
banana,purple,23,a photo of a purple banana,banana/purple/seed_0023.png,1,1,Gabriel
banana,purple,7,a photo of a purple banana,banana/purple/seed_0007.png,1,1,Gabriel
banana,red,5,a photo of a red banana,banana/red/seed_0005.png,1,1,Gabriel
banana,red,14,a photo of a red banana,banana/red/seed_0014.png,1,1,Gabriel
banana,red,12,a photo of a red banana,banana/red/seed_0012.png,1,1,Gabriel
banana,white,8,a photo of a white banana,banana/white/seed_0008.png,1,0,Gabriel
banana,white,29,a photo of a white banana,banana/white/seed_0029.png,1,0,Gabriel
banana,white,20,a photo of a white banana,banana/white/seed_0020.png,1,0,Gabriel
banana,yellow,22,a photo of a yellow banana,banana/yellow/seed_0022.png,1,1,Gabriel
banana,yellow,17,a photo of a yellow banana,banana/yellow/seed_0017.png,1,1,Gabriel
banana,yellow,7,a photo of a yellow banana,banana/yellow/seed_0007.png,1,1,Gabriel
car,black,21,a photo of a black car,car/black/seed_0021.png,1,1,Gabriel
car,black,10,a photo of a black car,car/black/seed_0010.png,1,1,Gabriel
car,black,26,a photo of a black car,car/black/seed_0026.png,1,1,Gabriel
car,blue,24,a photo of a blue car,car/blue/seed_0024.png,1,1,Gabriel
car,blue,1,a photo of a blue car,car/blue/seed_0001.png,1,1,Gabriel
car,blue,7,a photo of a blue car,car/blue/seed_0007.png,1,1,Gabriel
car,brown,26,a photo of a brown car,car/brown/seed_0026.png,1,1,Gabriel
car,brown,1,a photo of a brown car,car/brown/seed_0001.png,1,1,Gabriel
car,brown,25,a photo of a brown car,car/brown/seed_0025.png,1,1,Gabriel
car,green,10,a photo of a green car,car/green/seed_0010.png,1,1,Gabriel
car,green,12,a photo of a green car,car/green/seed_0012.png,1,1,Gabriel
car,green,8,a photo of a green car,car/green/seed_0008.png,1,1,Gabriel
car,orange,2,a photo of a orange car,car/orange/seed_0002.png,1,1,Gabriel
car,orange,6,a photo of a orange car,car/orange/seed_0006.png,1,1,Gabriel
car,orange,29,a photo of a orange car,car/orange/seed_0029.png,1,1,Gabriel
car,pink,18,a photo of a pink car,car/pink/seed_0018.png,1,1,Gabriel
car,pink,28,a photo of a pink car,car/pink/seed_0028.png,1,1,Gabriel
car,pink,22,a photo of a pink car,car/pink/seed_0022.png,1,1,Gabriel
car,purple,10,a photo of a purple car,car/purple/seed_0010.png,1,1,Gabriel
car,purple,6,a photo of a purple car,car/purple/seed_0006.png,1,1,Gabriel
car,purple,20,a photo of a purple car,car/purple/seed_0020.png,1,1,Gabriel
car,red,15,a photo of a red car,car/red/seed_0015.png,1,1,Gabriel
car,red,12,a photo of a red car,car/red/seed_0012.png,1,1,Gabriel
car,red,28,a photo of a red car,car/red/seed_0028.png,1,1,Gabriel
car,white,29,a photo of a white car,car/white/seed_0029.png,1,1,Gabriel
car,white,20,a photo of a white car,car/white/seed_0020.png,1,1,Gabriel
car,white,14,a photo of a white car,car/white/seed_0014.png,1,1,Gabriel
car,yellow,4,a photo of a yellow car,car/yellow/seed_0004.png,1,1,Gabriel
car,yellow,8,a photo of a yellow car,car/yellow/seed_0008.png,1,1,Gabriel
car,yellow,7,a photo of a yellow car,car/yellow/seed_0007.png,1,1,Gabriel
chair,black,23,a photo of a black chair,chair/black/seed_0023.png,1,1,Gabriel
chair,black,17,a photo of a black chair,chair/black/seed_0017.png,1,1,Gabriel
chair,black,8,a photo of a black chair,chair/black/seed_0008.png,1,1,Gabriel
chair,blue,23,a photo of a blue chair,chair/blue/seed_0023.png,1,1,Gabriel
chair,blue,18,a photo of a blue chair,chair/blue/seed_0018.png,1,1,Gabriel
chair,blue,13,a photo of a blue chair,chair/blue/seed_0013.png,1,1,Gabriel
chair,brown,28,a photo of a brown chair,chair/brown/seed_0028.png,1,1,Gabriel
chair,brown,18,a photo of a brown chair,chair/brown/seed_0018.png,1,1,Gabriel
chair,brown,12,a photo of a brown chair,chair/brown/seed_0012.png,1,1,Gabriel
chair,green,11,a photo of a green chair,chair/green/seed_0011.png,1,1,Gabriel
chair,green,7,a photo of a green chair,chair/green/seed_0007.png,1,1,Gabriel
chair,green,4,a photo of a green chair,chair/green/seed_0004.png,1,1,Gabriel
chair,orange,16,a photo of a orange chair,chair/orange/seed_0016.png,1,1,Gabriel
chair,orange,15,a photo of a orange chair,chair/orange/seed_0015.png,1,1,Gabriel
chair,orange,2,a photo of a orange chair,chair/orange/seed_0002.png,1,1,Gabriel
chair,pink,24,a photo of a pink chair,chair/pink/seed_0024.png,1,1,Gabriel
chair,pink,1,a photo of a pink chair,chair/pink/seed_0001.png,1,1,Gabriel
chair,pink,27,a photo of a pink chair,chair/pink/seed_0027.png,1,1,Gabriel
chair,purple,3,a photo of a purple chair,chair/purple/seed_0003.png,1,1,Gabriel
chair,purple,4,a photo of a purple chair,chair/purple/seed_0004.png,1,1,Gabriel
chair,purple,20,a photo of a purple chair,chair/purple/seed_0020.png,1,1,Gabriel
chair,red,5,a photo of a red chair,chair/red/seed_0005.png,1,1,Gabriel
chair,red,25,a photo of a red chair,chair/red/seed_0025.png,1,1,Gabriel
chair,red,21,a photo of a red chair,chair/red/seed_0021.png,1,1,Gabriel
chair,white,13,a photo of a white chair,chair/white/seed_0013.png,1,1,Gabriel
chair,white,19,a photo of a white chair,chair/white/seed_0019.png,1,1,Gabriel
chair,white,2,a photo of a white chair,chair/white/seed_0002.png,1,1,Gabriel
chair,yellow,12,a photo of a yellow chair,chair/yellow/seed_0012.png,1,1,Gabriel
chair,yellow,19,a photo of a yellow chair,chair/yellow/seed_0019.png,1,1,Gabriel
chair,yellow,14,a photo of a yellow chair,chair/yellow/seed_0014.png,1,1,Gabriel
chalkboard,black,16,a photo of a black chalkboard,chalkboard/black/seed_0016.png,1,1,Gabriel
chalkboard,black,8,a photo of a black chalkboard,chalkboard/black/seed_0008.png,1,1,Gabriel
chalkboard,black,17,a photo of a black chalkboard,chalkboard/black/seed_0017.png,1,1,Gabriel
chalkboard,blue,27,a photo of a blue chalkboard,chalkboard/blue/seed_0027.png,1,1,Gabriel
chalkboard,blue,0,a photo of a blue chalkboard,chalkboard/blue/seed_0000.png,1,0,Gabriel
chalkboard,blue,21,a photo of a blue chalkboard,chalkboard/blue/seed_0021.png,1,0,Gabriel
chalkboard,brown,23,a photo of a brown chalkboard,chalkboard/brown/seed_0023.png,1,0,Gabriel
chalkboard,brown,3,a photo of a brown chalkboard,chalkboard/brown/seed_0003.png,1,0,Gabriel
chalkboard,brown,21,a photo of a brown chalkboard,chalkboard/brown/seed_0021.png,1,1,Gabriel
chalkboard,green,28,a photo of a green chalkboard,chalkboard/green/seed_0028.png,1,0,Gabriel
chalkboard,green,17,a photo of a green chalkboard,chalkboard/green/seed_0017.png,1,1,Gabriel
chalkboard,green,24,a photo of a green chalkboard,chalkboard/green/seed_0024.png,1,1,Gabriel
chalkboard,orange,8,a photo of a orange chalkboard,chalkboard/orange/seed_0008.png,1,1,Gabriel
chalkboard,orange,24,a photo of a orange chalkboard,chalkboard/orange/seed_0024.png,1,1,Gabriel
chalkboard,orange,20,a photo of a orange chalkboard,chalkboard/orange/seed_0020.png,1,0,Gabriel
chalkboard,pink,10,a photo of a pink chalkboard,chalkboard/pink/seed_0010.png,1,0,Gabriel
chalkboard,pink,3,a photo of a pink chalkboard,chalkboard/pink/seed_0003.png,1,0,Gabriel
chalkboard,pink,9,a photo of a pink chalkboard,chalkboard/pink/seed_0009.png,1,0,Gabriel
chalkboard,purple,13,a photo of a purple chalkboard,chalkboard/purple/seed_0013.png,1,0,Gabriel
chalkboard,purple,5,a photo of a purple chalkboard,chalkboard/purple/seed_0005.png,1,0,Gabriel
chalkboard,purple,14,a photo of a purple chalkboard,chalkboard/purple/seed_0014.png,1,0,Gabriel
chalkboard,red,0,a photo of a red chalkboard,chalkboard/red/seed_0000.png,1,0,Gabriel
chalkboard,red,23,a photo of a red chalkboard,chalkboard/red/seed_0023.png,1,0,Gabriel
chalkboard,red,28,a photo of a red chalkboard,chalkboard/red/seed_0028.png,1,0,Gabriel
chalkboard,white,23,a photo of a white chalkboard,chalkboard/white/seed_0023.png,1,0,Gabriel
chalkboard,white,8,a photo of a white chalkboard,chalkboard/white/seed_0008.png,1,0,Gabriel
chalkboard,white,16,a photo of a white chalkboard,chalkboard/white/seed_0016.png,1,0,Gabriel
chalkboard,yellow,24,a photo of a yellow chalkboard,chalkboard/yellow/seed_0024.png,1,0,Gabriel
chalkboard,yellow,5,a photo of a yellow chalkboard,chalkboard/yellow/seed_0005.png,1,0,Gabriel
chalkboard,yellow,16,a photo of a yellow chalkboard,chalkboard/yellow/seed_0016.png,1,0,Gabriel
dog,black,29,a photo of a black dog,dog/black/seed_0029.png,1,1,Gabriel
dog,black,3,a photo of a black dog,dog/black/seed_0003.png,1,1,Gabriel
dog,black,27,a photo of a black dog,dog/black/seed_0027.png,1,1,Gabriel
dog,blue,20,a photo of a blue dog,dog/blue/seed_0020.png,1,1,Gabriel
dog,blue,9,a photo of a blue dog,dog/blue/seed_0009.png,1,1,Gabriel
dog,blue,26,a photo of a blue dog,dog/blue/seed_0026.png,1,1,Gabriel
dog,brown,20,a photo of a brown dog,dog/brown/seed_0020.png,1,1,Gabriel
dog,brown,16,a photo of a brown dog,dog/brown/seed_0016.png,1,1,Gabriel
dog,brown,19,a photo of a brown dog,dog/brown/seed_0019.png,1,1,Gabriel
dog,green,6,a photo of a green dog,dog/green/seed_0006.png,1,0,Gabriel
dog,green,4,a photo of a green dog,dog/green/seed_0004.png,1,1,Gabriel
dog,green,11,a photo of a green dog,dog/green/seed_0011.png,1,0,Gabriel
dog,orange,24,a photo of a orange dog,dog/orange/seed_0024.png,1,1,Gabriel
dog,orange,5,a photo of a orange dog,dog/orange/seed_0005.png,1,1,Gabriel
dog,orange,17,a photo of a orange dog,dog/orange/seed_0017.png,1,1,Gabriel
dog,pink,24,a photo of a pink dog,dog/pink/seed_0024.png,1,1,Gabriel
dog,pink,29,a photo of a pink dog,dog/pink/seed_0029.png,1,0,Gabriel
dog,pink,16,a photo of a pink dog,dog/pink/seed_0016.png,1,1,Gabriel
dog,purple,29,a photo of a purple dog,dog/purple/seed_0029.png,1,0,Gabriel
dog,purple,0,a photo of a purple dog,dog/purple/seed_0000.png,1,0,Gabriel
dog,purple,19,a photo of a purple dog,dog/purple/seed_0019.png,1,1,Gabriel
dog,red,10,a photo of a red dog,dog/red/seed_0010.png,1,1,Gabriel
dog,red,15,a photo of a red dog,dog/red/seed_0015.png,1,1,Gabriel
dog,red,0,a photo of a red dog,dog/red/seed_0000.png,1,1,Gabriel
dog,white,3,a photo of a white dog,dog/white/seed_0003.png,1,1,Gabriel
dog,white,29,a photo of a white dog,dog/white/seed_0029.png,1,1,Gabriel
dog,white,11,a photo of a white dog,dog/white/seed_0011.png,1,1,Gabriel
dog,yellow,28,a photo of a yellow dog,dog/yellow/seed_0028.png,1,1,Gabriel
dog,yellow,26,a photo of a yellow dog,dog/yellow/seed_0026.png,1,0,Gabriel
dog,yellow,25,a photo of a yellow dog,dog/yellow/seed_0025.png,1,1,Gabriel
flower,black,9,a photo of a black flower,flower/black/seed_0009.png,1,1,Gabriel
flower,black,7,a photo of a black flower,flower/black/seed_0007.png,1,1,Gabriel
flower,black,1,a photo of a black flower,flower/black/seed_0001.png,1,0,Gabriel
flower,blue,7,a photo of a blue flower,flower/blue/seed_0007.png,1,1,Gabriel
flower,blue,28,a photo of a blue flower,flower/blue/seed_0028.png,1,1,Gabriel
flower,blue,18,a photo of a blue flower,flower/blue/seed_0018.png,1,1,Gabriel
flower,brown,2,a photo of a brown flower,flower/brown/seed_0002.png,1,0,Gabriel
flower,brown,23,a photo of a brown flower,flower/brown/seed_0023.png,1,1,Gabriel
flower,brown,15,a photo of a brown flower,flower/brown/seed_0015.png,1,0,Gabriel
flower,green,26,a photo of a green flower,flower/green/seed_0026.png,1,1,Gabriel
flower,green,2,a photo of a green flower,flower/green/seed_0002.png,1,1,Gabriel
flower,green,24,a photo of a green flower,flower/green/seed_0024.png,1,1,Gabriel
flower,orange,17,a photo of a orange flower,flower/orange/seed_0017.png,1,1,Gabriel
flower,orange,24,a photo of a orange flower,flower/orange/seed_0024.png,1,1,Gabriel
flower,orange,4,a photo of a orange flower,flower/orange/seed_0004.png,1,1,Gabriel
flower,pink,4,a photo of a pink flower,flower/pink/seed_0004.png,1,1,Gabriel
flower,pink,21,a photo of a pink flower,flower/pink/seed_0021.png,1,1,Gabriel
flower,pink,15,a photo of a pink flower,flower/pink/seed_0015.png,1,1,Gabriel
flower,purple,17,a photo of a purple flower,flower/purple/seed_0017.png,1,1,Gabriel
flower,purple,5,a photo of a purple flower,flower/purple/seed_0005.png,1,1,Gabriel
flower,purple,8,a photo of a purple flower,flower/purple/seed_0008.png,1,1,Gabriel
flower,red,16,a photo of a red flower,flower/red/seed_0016.png,1,1,Gabriel
flower,red,27,a photo of a red flower,flower/red/seed_0027.png,1,1,Gabriel
flower,red,19,a photo of a red flower,flower/red/seed_0019.png,1,1,Gabriel
flower,white,13,a photo of a white flower,flower/white/seed_0013.png,1,1,Gabriel
flower,white,6,a photo of a white flower,flower/white/seed_0006.png,1,1,Gabriel
flower,white,29,a photo of a white flower,flower/white/seed_0029.png,1,1,Gabriel
flower,yellow,17,a photo of a yellow flower,flower/yellow/seed_0017.png,1,1,Gabriel
flower,yellow,24,a photo of a yellow flower,flower/yellow/seed_0024.png,1,1,Gabriel
flower,yellow,23,a photo of a yellow flower,flower/yellow/seed_0023.png,1,1,Gabriel
frog,black,22,a photo of a black frog,frog/black/seed_0022.png,1,1,Gabriel
frog,black,6,a photo of a black frog,frog/black/seed_0006.png,1,1,Gabriel
frog,black,9,a photo of a black frog,frog/black/seed_0009.png,1,1,Gabriel
frog,blue,12,a photo of a blue frog,frog/blue/seed_0012.png,1,1,Gabriel
frog,blue,21,a photo of a blue frog,frog/blue/seed_0021.png,1,1,Gabriel
frog,blue,20,a photo of a blue frog,frog/blue/seed_0020.png,1,1,Gabriel
frog,brown,11,a photo of a brown frog,frog/brown/seed_0011.png,1,1,Gabriel
frog,brown,14,a photo of a brown frog,frog/brown/seed_0014.png,1,1,Gabriel
frog,brown,28,a photo of a brown frog,frog/brown/seed_0028.png,1,1,Gabriel
frog,green,16,a photo of a green frog,frog/green/seed_0016.png,1,1,Gabriel
frog,green,14,a photo of a green frog,frog/green/seed_0014.png,1,1,Gabriel
frog,green,3,a photo of a green frog,frog/green/seed_0003.png,1,1,Gabriel
frog,orange,7,a photo of a orange frog,frog/orange/seed_0007.png,1,1,Gabriel
frog,orange,2,a photo of a orange frog,frog/orange/seed_0002.png,1,1,Gabriel
frog,orange,10,a photo of a orange frog,frog/orange/seed_0010.png,1,1,Gabriel
frog,pink,0,a photo of a pink frog,frog/pink/seed_0000.png,1,0,Gabriel
frog,pink,18,a photo of a pink frog,frog/pink/seed_0018.png,1,1,Gabriel
frog,pink,17,a photo of a pink frog,frog/pink/seed_0017.png,1,1,Gabriel
frog,purple,7,a photo of a purple frog,frog/purple/seed_0007.png,1,1,Gabriel
frog,purple,18,a photo of a purple frog,frog/purple/seed_0018.png,1,1,Gabriel
frog,purple,0,a photo of a purple frog,frog/purple/seed_0000.png,1,1,Gabriel
frog,red,2,a photo of a red frog,frog/red/seed_0002.png,1,0,Gabriel
frog,red,22,a photo of a red frog,frog/red/seed_0022.png,1,1,Gabriel
frog,red,20,a photo of a red frog,frog/red/seed_0020.png,1,1,Gabriel
frog,white,1,a photo of a white frog,frog/white/seed_0001.png,1,1,Gabriel
frog,white,7,a photo of a white frog,frog/white/seed_0007.png,1,1,Gabriel
frog,white,2,a photo of a white frog,frog/white/seed_0002.png,1,1,Gabriel
frog,yellow,28,a photo of a yellow frog,frog/yellow/seed_0028.png,1,1,Gabriel
frog,yellow,1,a photo of a yellow frog,frog/yellow/seed_0001.png,1,1,Gabriel
frog,yellow,27,a photo of a yellow frog,frog/yellow/seed_0027.png,1,1,Gabriel
polar bear,black,10,a photo of a black polar bear,polar_bear/black/seed_0010.png,1,1,Gabriel
polar bear,black,2,a photo of a black polar bear,polar_bear/black/seed_0002.png,1,1,Gabriel
polar bear,black,16,a photo of a black polar bear,polar_bear/black/seed_0016.png,1,1,Gabriel
polar bear,blue,7,a photo of a blue polar bear,polar_bear/blue/seed_0007.png,1,0,Gabriel
polar bear,blue,8,a photo of a blue polar bear,polar_bear/blue/seed_0008.png,1,0,Gabriel
polar bear,blue,21,a photo of a blue polar bear,polar_bear/blue/seed_0021.png,1,0,Gabriel
polar bear,brown,15,a photo of a brown polar bear,polar_bear/brown/seed_0015.png,1,0,Gabriel
polar bear,brown,6,a photo of a brown polar bear,polar_bear/brown/seed_0006.png,1,0,Gabriel
polar bear,brown,17,a photo of a brown polar bear,polar_bear/brown/seed_0017.png,1,0,Gabriel
polar bear,green,4,a photo of a green polar bear,polar_bear/green/seed_0004.png,1,1,Gabriel
polar bear,green,23,a photo of a green polar bear,polar_bear/green/seed_0023.png,1,1,Gabriel
polar bear,green,29,a photo of a green polar bear,polar_bear/green/seed_0029.png,1,1,Gabriel
polar bear,orange,28,a photo of a orange polar bear,polar_bear/orange/seed_0028.png,1,1,Gabriel
polar bear,orange,18,a photo of a orange polar bear,polar_bear/orange/seed_0018.png,1,0,Gabriel
polar bear,orange,15,a photo of a orange polar bear,polar_bear/orange/seed_0015.png,1,0,Gabriel
polar bear,pink,7,a photo of a pink polar bear,polar_bear/pink/seed_0007.png,1,0,Gabriel
polar bear,pink,25,a photo of a pink polar bear,polar_bear/pink/seed_0025.png,1,0,Gabriel
polar bear,pink,15,a photo of a pink polar bear,polar_bear/pink/seed_0015.png,1,0,Gabriel
polar bear,purple,25,a photo of a purple polar bear,polar_bear/purple/seed_0025.png,1,0,Gabriel
polar bear,purple,13,a photo of a purple polar bear,polar_bear/purple/seed_0013.png,1,0,Gabriel
polar bear,purple,6,a photo of a purple polar bear,polar_bear/purple/seed_0006.png,1,0,Gabriel
polar bear,red,3,a photo of a red polar bear,polar_bear/red/seed_0003.png,1,0,Gabriel
polar bear,red,21,a photo of a red polar bear,polar_bear/red/seed_0021.png,1,1,Gabriel
polar bear,red,13,a photo of a red polar bear,polar_bear/red/seed_0013.png,1,1,Gabriel
polar bear,white,11,a photo of a white polar bear,polar_bear/white/seed_0011.png,1,1,Gabriel
polar bear,white,13,a photo of a white polar bear,polar_bear/white/seed_0013.png,1,1,Gabriel
polar bear,white,14,a photo of a white polar bear,polar_bear/white/seed_0014.png,1,1,Gabriel
polar bear,yellow,27,a photo of a yellow polar bear,polar_bear/yellow/seed_0027.png,1,1,Gabriel
polar bear,yellow,23,a photo of a yellow polar bear,polar_bear/yellow/seed_0023.png,1,0,Gabriel
