object,color,category,npmi,pmi,ppmi,p_joint,count_pattern,n_correct,n_total,accuracy,acc_ci_lo,acc_ci_hi
ball,black,under,-0.2831843009400679,-3.5713767589630723,0.0,3.333483340083637e-06,2,12,30,0.4,0.23333333333333334,0.5666666666666667
ball,blue,under,-0.23843877049503215,-3.007068826043106,0.0,3.333483340083637e-06,2,22,30,0.7333333333333333,0.5666666666666667,0.9
ball,brown,never,-1.0,-5.074376067040501,0.0,0.0,0,18,30,0.6,0.43333333333333335,0.7666666666666667
ball,green,under,-0.24517713745174216,-3.261993533644621,0.0,1.6667416700418185e-06,1,26,30,0.8666666666666667,0.7333333333333333,0.9666666666666667
ball,orange,under,-0.1281988394091868,-1.616778734103999,0.0,3.333483340083637e-06,2,12,30,0.4,0.23333333333333334,0.5666666666666667
ball,pink,under,-0.21630501140143338,-2.87786029243971,0.0,1.6667416700418185e-06,1,26,30,0.8666666666666667,0.7666666666666667,0.9666666666666667
ball,purple,never,-1.0,-5.074376067040501,0.0,0.0,0,18,30,0.6,0.43333333333333335,0.7666666666666667
ball,red,under,-0.1557909049932207,-1.7936020665587404,0.0,1.0000450020250911e-05,6,30,30,1.0,1.0,1.0
ball,white,under,-0.3062372290795926,-4.074376067040501,0.0,1.6667416700418185e-06,1,17,30,0.5666666666666667,0.4,0.7333333333333333
ball,yellow,under,-0.15751334089176872,-1.9864783570984192,0.0,3.333483340083637e-06,2,29,30,0.9666666666666667,0.9,1.0
banana,black,never,-1.0,-5.074376067040501,0.0,0.0,0,5,30,0.16666666666666666,0.03333333333333333,0.3
banana,blue,under,-0.0405819549353336,-0.4836697629093095,0.0,6.666966680167274e-06,4,6,30,0.2,0.06666666666666667,0.3333333333333333
banana,brown,never,-1.0,-5.074376067040501,0.0,0.0,0,2,30,0.06666666666666667,0.0,0.16666666666666666
banana,green,under,-0.05856519010067567,-0.7385944705108239,0.0,3.333483340083637e-06,2,17,30,0.5666666666666667,0.4,0.7333333333333333
banana,orange,under,-0.036053138942425816,-0.4796740320900929,0.0,1.6667416700418185e-06,1,0,30,0.0,0.0,0.0
banana,pink,under,-0.07874007978621127,-1.0476084098658587,0.0,1.6667416700418185e-06,1,14,30,0.4666666666666667,0.3,0.6333333333333333
banana,purple,never,-1.0,-5.074376067040501,0.0,0.0,0,14,30,0.4666666666666667,0.3,0.6666666666666666
banana,red,under,-0.13191711027332467,-1.755109653212944,0.0,1.6667416700418185e-06,1,29,30,0.9666666666666667,0.9,1.0
banana,white,never,-1.0,-5.074376067040501,0.0,0.0,0,1,30,0.03333333333333333,0.0,0.1
banana,yellow,under,-0.012387627506826293,-0.1562264745245679,0.0,3.333483340083637e-06,2,30,30,1.0,1.0,1.0
car,black,under,-0.24443869225374906,-2.7438728151085936,0.0,1.3333933360334548e-05,8,27,30,0.9,0.8,1.0
car,blue,under,-0.16396890086031188,-1.774099774080463,0.0,2.0000900040501822e-05,12,30,30,1.0,1.0,1.0
car,brown,never,-1.0,-5.074376067040501,0.0,0.0,0,25,30,0.8333333333333334,0.7,0.9666666666666667
car,green,under,-0.22301863812872735,-2.7221716622419225,0.0,5.000225010125456e-06,3,30,30,1.0,1.0,1.0
car,orange,under,-0.1725068708394128,-2.1755691513694106,0.0,3.333483340083637e-06,2,30,30,1.0,1.0,1.0
car,pink,under,-0.25830467618541764,-3.436650709705122,0.0,1.6667416700418185e-06,1,30,30,1.0,1.0,1.0
car,purple,never,-1.0,-5.074376067040501,0.0,0.0,0,29,30,0.9666666666666667,0.9,1.0
car,red,under,-0.09174080597631147,-0.9252761281840065,0.0,4.166854175104546e-05,25,30,30,1.0,1.0,1.0
car,white,under,-0.21183146468221545,-2.3305813913118674,0.0,1.6667416700418184e-05,10,29,30,0.9666666666666667,0.9,1.0
car,yellow,under,-0.15540089709639532,-1.8521215938038857,0.0,6.666966680167274e-06,4,29,30,0.9666666666666667,0.9,1.0
chair,black,under,-0.2896096489203343,-3.6524099884493,0.0,3.333483340083637e-06,2,28,30,0.9333333333333333,0.8333333333333334,1.0
chair,blue,under,-0.24486411847529851,-3.088102055529334,0.0,3.333483340083637e-06,2,29,30,0.9666666666666667,0.9,1.0
chair,brown,under,-0.1626219133353953,-2.05090508144748,0.0,3.333483340083637e-06,2,28,30,0.9333333333333333,0.8333333333333334,1.0
chair,green,never,-1.0,-5.074376067040501,0.0,0.0,0,28,30,0.9333333333333333,0.8333333333333334,1.0
chair,orange,under,-0.17970866976913857,-2.3909591441501723,0.0,1.6667416700418185e-06,1,30,30,1.0,1.0,1.0
chair,pink,under,-0.22239561061292404,-2.9588935219259382,0.0,1.6667416700418185e-06,1,30,30,1.0,1.0,1.0
chair,purple,under,-0.1620214802660184,-2.1556374563811356,0.0,1.6667416700418185e-06,1,29,30,0.9666666666666667,0.9,1.0
chair,red,under,-0.2103700361319628,-2.5677824766049135,0.0,5.000225010125456e-06,3,30,30,1.0,1.0,1.0
chair,white,under,-0.16114010902919002,-1.7575140237283586,0.0,1.8334158370460003e-05,11,30,30,1.0,1.0,1.0
chair,yellow,under,-0.20749593983815254,-2.7606587671445926,0.0,1.6667416700418185e-06,1,30,30,1.0,1.0,1.0
chalkboard,black,under,-0.04675933939964373,-0.5707457893514344,0.0,5.000225010125456e-06,3,27,30,0.9,0.7666666666666667,1.0
chalkboard,blue,never,-1.0,-5.074376067040501,0.0,0.0,0,15,30,0.5,0.3,0.7
chalkboard,brown,never,-1.0,-5.074376067040501,0.0,0.0,0,3,30,0.1,0.0,0.2
chalkboard,green,positive,0.12584310942848104,1.4126138695386885,1.4126138695386885,1.3333933360334548e-05,8,17,30,0.5666666666666667,0.36666666666666664,0.7333333333333333
chalkboard,orange,never,-1.0,-5.074376067040501,0.0,0.0,0,0,30,0.0,0.0,0.0
chalkboard,pink,never,-1.0,-5.074376067040501,0.0,0.0,0,0,30,0.0,0.0,0.0
chalkboard,purple,never,-1.0,-5.074376067040501,0.0,0.0,0,7,30,0.23333333333333334,0.1,0.4
chalkboard,red,under,-0.0744248381959949,-0.990195674283322,0.0,1.6667416700418185e-06,1,5,30,0.16666666666666666,0.03333333333333333,0.3333333333333333
chalkboard,white,never,-1.0,-5.074376067040501,0.0,0.0,0,0,30,0.0,0.0,0.0
chalkboard,yellow,never,-1.0,-5.074376067040501,0.0,0.0,0,0,30,0.0,0.0,0.0
dog,black,under,-0.16635166757595485,-1.7419392750008915,0.0,2.8334608390710915e-05,17,30,30,1.0,1.0,1.0
dog,blue,under,-0.17205959993711953,-1.9314031444573057,0.0,1.3333933360334548e-05,8,30,30,1.0,1.0,1.0
dog,brown,under,-0.0904799728959,-1.027737562999974,0.0,1.166719169029273e-05,7,30,30,1.0,1.0,1.0
dog,green,under,-0.26852453212713573,-3.5726222131787106,0.0,1.6667416700418185e-06,1,22,30,0.7333333333333333,0.5666666666666667,0.9
dog,orange,under,-0.12468776491863079,-1.5219423055299246,0.0,5.000225010125456e-06,3,29,30,0.9666666666666667,0.9,1.0
dog,pink,under,-0.1978625243149195,-2.4953417914138547,0.0,3.333483340083637e-06,2,22,30,0.7333333333333333,0.5666666666666667,0.9
dog,purple,under,-0.13417013822703483,-1.6920857258690525,0.0,3.333483340083637e-06,2,24,30,0.8,0.6666666666666666,0.9333333333333333
dog,red,under,-0.14482795672913362,-1.5934051223268397,0.0,1.6667416700418184e-05,10,19,30,0.6333333333333333,0.4666666666666667,0.8
dog,white,under,-0.14819293143202675,-1.5517914025183752,0.0,2.8334608390710915e-05,17,30,30,1.0,1.0,1.0
dog,yellow,under,-0.09194197661046748,-1.0443440681371412,0.0,1.166719169029273e-05,7,20,30,0.6666666666666666,0.5,0.8333333333333334
flower,black,under,-0.23364590043398142,-2.68993732259019,0.0,1.0000450020250911e-05,6,19,30,0.6333333333333333,0.4666666666666667,0.8
flower,blue,under,-0.04291146178301651,-0.4208812974317987,0.0,5.5002475111380014e-05,33,27,30,0.9,0.8,1.0
flower,brown,under,-0.21648025796116172,-2.880191884816425,0.0,1.6667416700418185e-06,1,15,30,0.5,0.3333333333333333,0.6666666666666666
flower,green,under,-0.13498483246134482,-1.5332562368845348,0.0,1.166719169029273e-05,7,20,30,0.6666666666666666,0.5,0.8333333333333334
flower,orange,positive,0.0035243650862643717,0.03785059050236494,0.03785059050236494,2.166764171054364e-05,13,27,30,0.9,0.7666666666666667,1.0
flower,pink,positive,0.08227835814359995,0.7761678661729534,0.7761678661729534,8.000360016200729e-05,48,27,30,0.9,0.8,1.0
flower,purple,positive,0.09192151786630658,0.9270987456780654,0.9270987456780654,4.166854175104546e-05,25,29,30,0.9666666666666667,0.9,1.0
flower,red,under,-0.04716299057916912,-0.47032987790681885,0.0,4.666876676117092e-05,28,30,30,1.0,1.0,1.0
flower,white,under,-0.08393343547061731,-0.8258130165360023,0.0,5.333573344133819e-05,32,27,30,0.9,0.8,1.0
flower,yellow,positive,0.009596931786265778,0.0989338836003988,0.0989338836003988,3.333483340083637e-05,20,25,30,0.8333333333333334,0.7,0.9666666666666667
frog,black,never,-1.0,-5.074376067040501,0.0,0.0,0,28,30,0.9333333333333333,0.8333333333333334,1.0
frog,blue,never,-1.0,-5.074376067040501,0.0,0.0,0,28,30,0.9333333333333333,0.8333333333333334,1.0
frog,brown,never,-1.0,-5.074376067040501,0.0,0.0,0,26,30,0.8666666666666667,0.7333333333333333,0.9666666666666667
frog,green,positive,0.059777754805078256,0.6882141454746389,0.6882141454746389,1.0000450020250911e-05,6,30,30,1.0,1.0,1.0
frog,orange,never,-1.0,-5.074376067040501,0.0,0.0,0,27,30,0.9,0.8,1.0
frog,pink,never,-1.0,-5.074376067040501,0.0,0.0,0,20,30,0.6666666666666666,0.5,0.8333333333333334
frog,purple,never,-1.0,-5.074376067040501,0.0,0.0,0,29,30,0.9666666666666667,0.9,1.0
frog,red,under,-0.10724930047422346,-1.426913325895591,0.0,1.6667416700418185e-06,1,27,30,0.9,0.7666666666666667,1.0
frog,white,never,-1.0,-5.074376067040501,0.0,0.0,0,22,30,0.7333333333333333,0.5666666666666667,0.9
frog,yellow,under,-0.03917259921233854,-0.5211773277671601,0.0,1.6667416700418185e-06,1,29,30,0.9666666666666667,0.9,1.0
polar bear,black,never,-1.0,-5.074376067040501,0.0,0.0,0,27,30,0.9,0.8,1.0
polar bear,blue,under,-0.0344558727238519,-0.4584229801745257,0.0,1.6667416700418185e-06,1,1,30,0.03333333333333333,0.0,0.1
polar bear,brown,never,-1.0,-5.074376067040501,0.0,0.0,0,5,30,0.16666666666666666,0.03333333333333333,0.3
polar bear,green,never,-1.0,-5.074376067040501,0.0,0.0,0,5,30,0.16666666666666666,0.03333333333333333,0.3
polar bear,orange,never,-1.0,-5.074376067040501,0.0,0.0,0,7,30,0.23333333333333334,0.1,0.4
polar bear,pink,never,-1.0,-5.074376067040501,0.0,0.0,0,9,30,0.3,0.16666666666666666,0.4666666666666667
polar bear,purple,never,-1.0,-5.074376067040501,0.0,0.0,0,7,30,0.23333333333333334,0.1,0.4
polar bear,red,never,-1.0,-5.074376067040501,0.0,0.0,0,12,30,0.4,0.23333333333333334,0.5666666666666667
polar bear,white,positive,0.021794907876980078,0.26602924805613415,0.26602924805613415,5.000225010125456e-06,3,30,30,1.0,1.0,1.0
polar bear,yellow,never,-1.0,-5.074376067040501,0.0,0.0,0,5,30,0.16666666666666666,0.03333333333333333,0.3
shoe,black,never,-1.0,-5.074376067040501,0.0,0.0,0,30,30,1.0,1.0,1.0
shoe,blue,under,-0.18956666077037607,-2.5221161648862225,0.0,1.6667416700418185e-06,1,28,30,0.9333333333333333,0.8333333333333334,1.0
shoe,brown,under,-0.11160912270166258,-1.4849191908043684,0.0,1.6667416700418185e-06,1,30,30,1.0,1.0,1.0
shoe,green,never,-1.0,-5.074376067040501,0.0,0.0,0,30,30,1.0,1.0,1.0
shoe,orange,never,-1.0,-5.074376067040501,0.0,0.0,0,30,30,1.0,1.0,1.0
shoe,pink,never,-1.0,-5.074376067040501,0.0,0.0,0,29,30,0.9666666666666667,0.9,1.0
shoe,purple,never,-1.0,-5.074376067040501,0.0,0.0,0,30,30,1.0,1.0,1.0
shoe,red,under,-0.18093399792545573,-2.4072616940699665,0.0,1.6667416700418185e-06,1,30,30,1.0,1.0,1.0
shoe,white,never,-1.0,-5.074376067040501,0.0,0.0,0,28,30,0.9333333333333333,0.8333333333333334,1.0
shoe,yellow,never,-1.0,-5.074376067040501,0.0,0.0,0,29,30,0.9666666666666667,0.9,1.0
